Index,Distance,Pattern,Meter,Method
169,0.203,"[0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[9,8]",metricSync
170,0.204,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[9,4]",metricSync
171,0.204,"[1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0]","[9,8]",metricSync
172,0.205,"[1,1,0,0,1,1,0,0,1,0]","[5,8]",metricSync
173,0.206,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0]","[9,8]",metricSync
174,0.206,"[0,0,0,0,1,1,1,1,0,1]","[5,8]",metricSync
175,0.207,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[9,4]",metricSync
176,0.208,"[1,0,1,0,0,0,1,0,1,1]","[5,8]",metricSync
177,0.21,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[7,4]",metricSync
178,0.21,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[5,4]",metricSync
179,0.21,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[7,4]",metricSync
180,0.211,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[7,4]",metricSync
181,0.211,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0]","[7,8]",metricSync
182,0.211,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0]","[7,8]",metricSync
183,0.211,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[7,4]",metricSync
184,0.212,"[0,0,1,0,1,0,1,1,0,1]","[5,8]",metricSync
185,0.213,"[1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0]","[5,4]",metricSync
186,0.214,"[1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[9,8]",metricSync
187,0.216,"[1,0,0,0,1,1,1,0,0,0,1,0]","[6,8]",metricSync
188,0.216,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0]","[6,4]",metricSync
189,0.217,"[1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0]","[9,8]",metricSync
190,0.218,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[7,4]",metricSync
